"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2016","1,340.55","1,343.24","1,412.98","1,250.77","45.79B","-0.49%"
"03/01/2016","1,347.20","1,295.16","1,384.35","1,284.50","47.51B","3.80%"
"02/01/2016","1,297.85","1,448.04","1,463.79","1,193.85","58.18B","-9.37%"
"01/01/2016","1,432.07","1,532.53","1,544.73","1,301.49","46.51B","-7.45%"
"12/01/2015","1,547.30","1,585.52","1,607.27","1,502.55","42.08B","-2.09%"
"11/01/2015","1,580.25","1,539.44","1,609.76","1,523.34","40.55B","1.42%"
"10/01/2015","1,558.20","1,422.36","1,570.06","1,414.20","45.06B","10.42%"
"09/01/2015","1,411.16","1,526.67","1,528.57","1,371.44","45.63B","-8.19%"
"08/01/2015","1,537.05","1,659.68","1,702.83","1,410.94","54.71B","-7.38%"
"07/01/2015","1,659.52","1,635.06","1,674.27","1,526.09","50.50B","1.79%"
"06/01/2015","1,630.40","1,662.55","1,686.61","1,616.66","51.23B","-2.58%"
"05/01/2015","1,673.65","1,587.07","1,680.39","1,571.43","46.15B","5.08%"
"04/01/2015","1,592.79","1,536.70","1,633.81","1,519.41","45.98B","3.22%"
"03/01/2015","1,543.11","1,528.77","1,594.71","1,504.45","47.64B","1.26%"
"02/01/2015","1,523.85","1,402.52","1,529.20","1,387.38","46.69B","7.69%"
"01/01/2015","1,415.07","1,400.87","1,433.35","1,343.29","43.45B","0.54%"
"12/01/2014","1,407.51","1,413.60","1,454.22","1,346.37","46.71B","-0.20%"
"11/01/2014","1,410.34","1,358.97","1,413.27","1,353.42","49.85B","5.75%"
"10/01/2014","1,333.64","1,325.55","1,338.35","1,177.22","52.79B","0.55%"
"09/01/2014","1,326.29","1,280.54","1,346.43","1,279.52","42.71B","3.78%"
"08/01/2014","1,277.97","1,279.09","1,296.02","1,224.85","40.67B","-0.89%"
"07/01/2014","1,289.42","1,265.32","1,300.53","1,247.66","44.83B","2.13%"
"06/01/2014","1,262.56","1,210.82","1,273.80","1,210.82","44.30B","5.09%"
"05/01/2014","1,201.41","1,167.25","1,205.60","1,143.63","39.42B","3.35%"
"04/01/2014","1,162.44","1,207.63","1,223.26","1,121.50","40.44B","-3.36%"
"03/01/2014","1,202.89","1,197.77","1,241.88","1,145.90","44.37B","-0.72%"
"02/01/2014","1,211.66","1,212.97","1,234.54","1,139.27","49.00B","-0.74%"
"01/01/2014","1,220.64","1,297.79","1,308.08","1,211.22","54.39B","-6.27%"
"12/01/2013","1,302.29","1,260.97","1,302.87","1,222.20","49.97B","3.47%"
"11/01/2013","1,258.66","1,199.68","1,261.04","1,171.20","50.76B","5.39%"
"10/01/2013","1,194.26","1,198.18","1,222.56","1,138.75","53.44B","0.01%"
"09/01/2013","1,194.10","1,109.41","1,223.12","1,107.90","56.76B","7.96%"
"08/01/2013","1,106.05","1,134.84","1,196.17","1,103.94","45.37B","-2.27%"
"07/01/2013","1,131.70","1,143.96","1,232.02","1,127.01","59.70B","-0.19%"
"06/01/2013","1,133.84","1,122.10","1,139.76","1,033.02","66.51B","-0.17%"
"05/01/2013","1,135.78","1,164.31","1,289.77","1,129.07","97.97B","-2.52%"
"04/01/2013","1,165.13","1,031.75","1,176.36","971.33","90.58B","12.60%"
"03/01/2013","1,034.71","971.99","1,061.75","971.22","64.70B","6.05%"
"02/01/2013","975.66","945.54","981.80","930.04","71.40B","3.77%"
"01/01/2013","940.25","876.97","942.08","862.62","67.36B","9.36%"
"12/01/2012","859.80","785.48","861.57","776.83","50.07B","10.02%"
